,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
77,-0.5571366421826605,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
78,0.4119935436273495,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
79,0.5298417570649682,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.5,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
80,-1.5432582938498598,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
81,-0.5700288402389516,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
82,-0.25850276334091615,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
83,-0.261034653149215,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
84,-2.539952859827787,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
85,0.4049577346706101,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
86,0.3037156346304504,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
87,0.5011427705169603,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
88,-1.8127035986915916,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
89,-1.1339645124857833,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
90,-0.5374645787527215,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
91,-0.39455056514913467,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
92,-3.5882598772518977,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
93,-1.071293485684088,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
94,-0.5968927676548141,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
95,-0.28222750042709177,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
96,-1.2254894010329824,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
97,-0.6175395833173828,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
98,0.12824537918651674,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
99,0.22560331258256794,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
100,-2.6536382035774073,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
101,-0.8426487270573907,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
102,-1.2633774903310482,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
103,-1.0020510567436438,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
104,-0.7836655539346559,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
105,1.0307508844670261,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
106,1.857276622058002,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
107,2.1587377372631575,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
108,-1.7806505023891714,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
109,-0.0819742821825562,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
110,0.06859028264170944,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
111,0.284694359979884,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
112,-2.138099953812804,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
113,-0.6422702633332429,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
114,-0.22277952304060228,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
115,-0.009700476291315213,100.0,100.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
116,-4.267707705687066,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
117,-0.8956085906653872,100.0,100.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
